min,max,early,standard,3days,2days,nextday,sameday
1,249,69,85,111.3,127.2,148.4,255
250,399,70,86,113.4,129.6,151.2,258
400,649,72,88,115.5,132,154,264
650,899,73,90,117.6,134.4,156.8,270
900,1099,74,91,119.7,136.8,159.6,273
1100,1249,75,93,121.8,139.2,162.4,279
1250,1539,77,94,123.9,141.6,165.2,282
1540,1699,79,98,128.1,146.4,170.8,294
1700,1799,83,102,134.4,153.6,179.2,306
1800,1999,88,109,142.8,163.2,190.4,327
2000,2199,94,115,151.2,172.8,201.6,345
2200,2399,100,123,161.7,184.8,215.6,369
2400,2599,108,133,174.3,199.2,232.4,399
2600,2799,114,141,184.8,211.2,246.4,423
2800,2899,120,147,193.2,220.8,257.6,441
2900,3049,124,152,199.5,228,266,456
3050,3399,134,165,216.3,247.2,288.4,495
3400,3599,143,176,231,264,308,528
3600,3699,150,184,241.5,276,322,552
3700,3799,153,189,247.8,283.2,330.4,567
3800,3999,160,197,258.3,295.2,344.4,591
4000,4249,166,205,268.8,307.2,358.4,615
4250,4999,185,227,298.2,340.8,397.6,681
5000,5999,0,0,0,0,0,
6000,6249,0,0,0,0,0,
6250,6999,0,0,0,0,0,
7000,7999,0,0,0,0,0,
8000,8499,0,0,0,0,0,
8500,8999,0,0,0,0,0,
9000,9499,0,0,0,0,0,
9500,9999,0,0,0,0,0,
10000,10499,0,0,0,0,0,
10500,10999,0,0,0,0,0,
11000,11499,0,0,0,0,0,
11500,11999,0,0,0,0,0,
12000,12499,0,0,0,0,0,
12500,12999,0,0,0,0,0,
13000,13499,0,0,0,0,0,
13500,13999,0,0,0,0,0,
14000,14499,0,0,0,0,0,
14500,14999,0,0,0,0,0,
15000,15499,0,0,0,0,0,
15500,15999,0,0,0,0,0,
16000,16499,0,0,0,0,0,
16500,16999,0,0,0,0,0,
17000,17499,0,0,0,0,0,
17500,17999,0,0,0,0,0,
18000,18499,0,0,0,0,0,
18500,19000,0,0,0,0,0,
